city,gini,Area,freeman_centralization,founding century,continent,violent crime,property crime,entropy,crime,cv,structure,Population
vancouver,0.75929289943930578,1150.0,0.014996854619535862,19.0,North America,,,0.86136885563306331,30.03,0.027681503856933319,unplanned,2150000.0
columbus-oh,0.92460040423189105,1321.0,0.0085712872526076626,19.0,North America,5375.0,49012.0,0.76073541078510121,42.17,0.032771015040848055,unplanned,1395000.0
seoul,0.98492567255525942,,0.017218040862232466,0.0,Asia,,,0.55535414914180781,21.35,0.10109799018346718,unplanned,
las-vegas,0.88399360923145687,1080.0,0.0052512970626501206,20.0,North America,13039.0,47668.0,0.8039370401117979,70.57,0.025111993591468353,partly,1983000.0
johannesburg,0.95955263148832937,,0.013911199183394209,19.0,Africa,,,0.65524618898769937,83.93,0.078568063242018399,unplanned,
venice,0.98575220804791042,130.0,0.0066845767563028088,5.0,Europe,,,0.47877989445055708,,0.20138676764634192,unplanned,420000.0
tehran,0.9952506690257692,777.0,0.0037585574957108201,9.0,Asia,,,0.47744707453969087,54.16,0.11745390189418285,partly,7419000.0
bogota,0.97285526357507723,414.0,0.0033569509227738738,16.0,South America,,,0.68373422137977591,46.02,0.037781320197061354,unplanned,8702000.0
leeds,0.98356640665960926,,0.0082228022640586877,5.0,Europe,,,0.59870750682924079,28.91,0.077629044528875257,unplanned,
chennai,0.99760685129874227,609.0,0.0075721977720592127,17.0,Asia,,,0.36596398953711085,33.22,0.19985384871678083,unplanned,8865000.0
district-of-columbia,0.91863769278480478,3424.0,0.015270291065053322,18.0,North America,7587.0,27007.0,0.74268613600445743,55.7,0.049760463820815941,planned,4679000.0
dc-baltimore,0.92103264363573156,,0.0097109017288299418,18.0,North America,9664.0,29163.0,0.74411393472698251,58.85,0.044407318447607813,partly,
sofia,0.96447082614785429,207.0,0.0077997226102475134,19.0,Europe,,,0.65954330328800004,48.26,0.065326828225611089,unplanned,1180000.0
almaty,0.89079633070820419,420.0,0.029056482294190094,19.0,Asia,,,0.75686812842645568,,0.059081217453270128,unplanned,1403000.0
